[2023-09-09 18:40:41.419 | workflowName: LongRunningWorkflow | activityName: B | iteration: 3] - Setup results file before task execution
[2023-09-09 18:40:41.421 | workflowName: LongRunningWorkflow | activityName: B | iteration: 3] - Executing task
[2023-09-09 18:40:41.413 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Task execution finished with a running time of: 821ms
[2023-09-09 18:40:41.425 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Collecting task results...
[2023-09-09 18:40:41.435 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Task results collected: [A1-B1-C1]
[2023-09-09 18:40:41.435 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Emit task results...
[2023-09-09 18:40:41.436 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Incrementing workflow iteration...
[2023-09-09 18:40:41.436 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Waiting for tokens...
[2023-09-09 18:40:41.438 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Received tokens: [InputToken{portName='IPortC', token={content='A2-B2', iteration=2}}]
[2023-09-09 18:40:41.439 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Mapping task arguments...
[2023-09-09 18:40:41.442 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Task will be executed with the following arguments: {"arguments":["A2-B2"],"constants":["0","C","LongRunningWorkflowResults.txt"],"currentIteration":2}
[2023-09-09 18:40:41.444 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Executing task
[2023-09-09 18:40:41.445 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Setup results file before task execution
[2023-09-09 18:40:41.447 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Executing task
[2023-09-09 18:40:42.015 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Task execution finished with a running time of: 560ms
[2023-09-09 18:40:42.015 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Collecting task results...
[2023-09-09 18:40:42.017 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Task results collected: [A2-B2-C2]
[2023-09-09 18:40:42.017 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Emit task results...
[2023-09-09 18:40:42.021 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Incrementing workflow iteration...
[2023-09-09 18:40:42.022 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Waiting for tokens...
[2023-09-09 18:40:42.062 | workflowName: LongRunningWorkflow | activityName: B | iteration: 3] - Task execution finished with a running time of: 641ms
[2023-09-09 18:40:42.063 | workflowName: LongRunningWorkflow | activityName: B | iteration: 3] - Collecting task results...
[2023-09-09 18:40:42.065 | workflowName: LongRunningWorkflow | activityName: B | iteration: 3] - Task results collected: [A3-B3]
[2023-09-09 18:40:42.065 | workflowName: LongRunningWorkflow | activityName: B | iteration: 3] - Emit task results...
[2023-09-09 18:40:42.067 | workflowName: LongRunningWorkflow | activityName: B | iteration: 3] - Incrementing workflow iteration...
[2023-09-09 18:40:42.068 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Waiting for tokens...
[2023-09-09 18:40:42.069 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Received tokens: [InputToken{portName='IPortC', token={content='A3-B3', iteration=3}}]
[2023-09-09 18:40:42.070 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Mapping task arguments...
